"Time","recv wlxc83a35ac045d"
2024-10-19 01:36:30,35.5 Mb/s
2024-10-19 01:37:00,8.46 kb/s
2024-10-19 01:37:30,63.6 Mb/s
2024-10-19 01:38:00,78.8 Mb/s
2024-10-19 01:38:30,57.9 Mb/s
2024-10-19 01:39:00,97.0 Mb/s
2024-10-19 01:39:30,10.1 kb/s
2024-10-19 01:40:00,9.26 kb/s
2024-10-19 01:40:30,102 Mb/s
2024-10-19 01:41:00,93.5 Mb/s
2024-10-19 01:41:30,90.9 Mb/s
2024-10-19 01:42:00,10.7 kb/s
2024-10-19 01:42:30,22.2 Mb/s
2024-10-19 01:43:00,59.5 Mb/s
2024-10-19 01:43:30,39.4 Mb/s
2024-10-19 01:44:00,71.2 kb/s
2024-10-19 01:44:30,117 kb/s
2024-10-19 01:45:00,9.88 Mb/s
2024-10-19 01:45:30,67.9 kb/s
2024-10-19 01:46:00,182 Mb/s
2024-10-19 01:46:30,132 Mb/s
2024-10-19 01:47:00,130 Mb/s
2024-10-19 01:47:30,19.8 kb/s
2024-10-19 01:48:00,14.1 kb/s
2024-10-19 01:48:30,10.1 kb/s
2024-10-19 01:49:00,10.1 kb/s
2024-10-19 01:49:30,10.1 kb/s
2024-10-19 01:50:00,876 kb/s
2024-10-19 01:50:30,688 kb/s
2024-10-19 01:51:00,320 kb/s
2024-10-19 01:51:30,490 kb/s
2024-10-19 01:52:00,69.0 Mb/s
2024-10-19 01:52:30,68.0 Mb/s
2024-10-19 01:53:00,50.7 Mb/s
2024-10-19 01:53:30,50.3 Mb/s
2024-10-19 01:54:00,15.4 Mb/s
2024-10-19 01:54:30,15.3 Mb/s
2024-10-19 01:55:00,354 kb/s
2024-10-19 01:55:30,68.0 Mb/s
2024-10-19 01:56:00,64.2 Mb/s
2024-10-19 01:56:30,64.9 Mb/s
2024-10-19 01:57:00,466 kb/s
2024-10-19 01:57:30,36.3 Mb/s
2024-10-19 01:58:00,36.0 Mb/s
2024-10-19 01:58:30,34.4 Mb/s
2024-10-19 01:59:00,90.3 Mb/s
2024-10-19 01:59:30,104 Mb/s
2024-10-19 02:00:00,81.7 Mb/s
2024-10-19 02:00:30,51.4 Mb/s
2024-10-19 02:01:00,196 kb/s
2024-10-19 02:01:30,21.8 Mb/s
2024-10-19 02:02:00,20.8 Mb/s
2024-10-19 02:02:30,43.7 Mb/s
2024-10-19 02:03:00,17.1 kb/s
2024-10-19 02:03:30,13.8 kb/s
2024-10-19 02:04:00,31.7 Mb/s
2024-10-19 02:04:30,77.0 Mb/s
2024-10-19 02:05:00,47.9 Mb/s
2024-10-19 02:05:30,487 kb/s
2024-10-19 02:06:00,17.4 Mb/s
2024-10-19 02:06:30,11.4 kb/s
2024-10-19 02:07:00,61.1 Mb/s
2024-10-19 02:07:30,56.9 Mb/s
2024-10-19 02:08:00,68.6 Mb/s
2024-10-19 02:08:30,6.36 Mb/s
2024-10-19 02:09:00,6.43 Mb/s
2024-10-19 02:09:30,6.35 Mb/s
2024-10-19 02:10:00,243 kb/s
2024-10-19 02:10:30,193 kb/s
2024-10-19 02:11:00,10.8 kb/s
2024-10-19 02:11:30,60.8 Mb/s
2024-10-19 02:12:00,783 kb/s
2024-10-19 02:12:30,57.1 Mb/s
2024-10-19 02:13:00,58.3 Mb/s
2024-10-19 02:13:30,121 Mb/s
2024-10-19 02:14:00,129 Mb/s
2024-10-19 02:14:30,204 Mb/s
2024-10-19 02:15:00,130 Mb/s
2024-10-19 02:15:30,77.4 Mb/s
2024-10-19 02:16:00,9.14 kb/s
2024-10-19 02:16:30,30.9 Mb/s
2024-10-19 02:17:00,67.2 Mb/s
2024-10-19 02:17:30,246 kb/s
2024-10-19 02:18:00,25.5 Mb/s
2024-10-19 02:18:30,16.3 Mb/s
2024-10-19 02:19:00,19.7 Mb/s
2024-10-19 02:19:30,19.2 Mb/s
2024-10-19 02:20:00,9.96 kb/s
2024-10-19 02:20:30,11.5 kb/s
2024-10-19 02:21:00,10.8 kb/s
2024-10-19 02:21:30,10.8 kb/s
2024-10-19 02:22:00,65.5 Mb/s
2024-10-19 02:22:30,64.1 Mb/s
2024-10-19 02:23:00,66.8 Mb/s
2024-10-19 02:23:30,66.5 Mb/s
2024-10-19 02:24:00,9.28 kb/s
2024-10-19 02:24:30,10.8 kb/s
2024-10-19 02:25:00,11.6 kb/s
2024-10-19 02:25:30,59.1 Mb/s
2024-10-19 02:26:00,40.2 Mb/s
2024-10-19 02:26:30,33.8 Mb/s
2024-10-19 02:27:00,76.2 Mb/s
2024-10-19 02:27:30,35.5 Mb/s
2024-10-19 02:28:00,15.6 kb/s
2024-10-19 02:28:30,13.9 kb/s
2024-10-19 02:29:00,9.13 kb/s
2024-10-19 02:29:30,69.9 Mb/s
2024-10-19 02:30:00,71.7 Mb/s
2024-10-19 02:30:30,25.1 Mb/s
2024-10-19 02:31:00,105 Mb/s
2024-10-19 02:31:30,121 Mb/s
2024-10-19 02:32:00,51.0 Mb/s
2024-10-19 02:32:30,5.98 Mb/s
2024-10-19 02:33:00,6.00 Mb/s
2024-10-19 02:33:30,5.65 Mb/s
2024-10-19 02:34:00,80.7 Mb/s
2024-10-19 02:34:30,99.2 Mb/s
2024-10-19 02:35:00,80.9 Mb/s
2024-10-19 02:35:30,115 Mb/s
2024-10-19 02:36:00,40.4 Mb/s
2024-10-19 02:36:30,58.8 Mb/s
2024-10-19 02:37:00,94.9 Mb/s
2024-10-19 02:37:30,57.5 Mb/s
2024-10-19 02:38:00,890 kb/s
2024-10-19 02:38:30,679 kb/s
2024-10-19 02:39:00,10.8 kb/s
2024-10-19 02:39:30,10.8 kb/s
2024-10-19 02:40:00,288 kb/s
2024-10-19 02:40:30,84.8 Mb/s
2024-10-19 02:41:00,9.96 kb/s
2024-10-19 02:41:30,668 kb/s
2024-10-19 02:42:00,633 kb/s
2024-10-19 02:42:30,507 kb/s
2024-10-19 02:43:00,455 kb/s
2024-10-19 02:43:30,8.34 kb/s
2024-10-19 02:44:00,270 kb/s
2024-10-19 02:44:30,361 kb/s
2024-10-19 02:45:00,214 kb/s
2024-10-19 02:45:30,197 kb/s
2024-10-19 02:46:00,10.8 kb/s
2024-10-19 02:46:30,10.1 kb/s
2024-10-19 02:47:00,17.5 Mb/s
2024-10-19 02:47:30,17.1 Mb/s
2024-10-19 02:48:00,51.4 kb/s
2024-10-19 02:48:30,95.9 Mb/s
2024-10-19 02:49:00,10.1 Mb/s
2024-10-19 02:49:30,9.58 Mb/s
2024-10-19 02:50:00,9.51 Mb/s
2024-10-19 02:50:30,10.1 kb/s
2024-10-19 02:51:00,544 kb/s
2024-10-19 02:51:30,30.1 Mb/s
2024-10-19 02:52:00,28.5 Mb/s
2024-10-19 02:52:30,9.28 kb/s
2024-10-19 02:53:00,10.4 kb/s
2024-10-19 02:53:30,72.9 Mb/s
2024-10-19 02:54:00,146 Mb/s
2024-10-19 02:54:30,151 Mb/s
2024-10-19 02:55:00,113 Mb/s
2024-10-19 02:55:30,10.1 kb/s
2024-10-19 02:56:00,10.9 kb/s
2024-10-19 02:56:30,10.1 kb/s
2024-10-19 02:57:00,24.2 Mb/s
2024-10-19 02:57:30,51.0 Mb/s
2024-10-19 02:58:00,39.7 Mb/s
2024-10-19 02:58:30,76.7 Mb/s
2024-10-19 02:59:00,77.6 Mb/s
2024-10-19 02:59:30,95.5 Mb/s
2024-10-19 03:00:00,67.3 Mb/s
2024-10-19 03:00:30,101 Mb/s
2024-10-19 03:01:00,8.46 kb/s
2024-10-19 03:01:30,809 kb/s
2024-10-19 03:02:00,11.9 Mb/s
2024-10-19 03:02:30,10.8 Mb/s
2024-10-19 03:03:00,10.2 Mb/s
2024-10-19 03:03:30,36.2 Mb/s
2024-10-19 03:04:00,64.9 Mb/s
2024-10-19 03:04:30,66.2 Mb/s
2024-10-19 03:05:00,35.6 Mb/s
2024-10-19 03:05:30,29.9 Mb/s
2024-10-19 03:06:00,28.5 Mb/s
2024-10-19 03:06:30,29.8 Mb/s
2024-10-19 03:07:00,20.2 Mb/s
2024-10-19 03:07:30,7.64 kb/s
2024-10-19 03:08:00,9.26 kb/s
2024-10-19 03:08:30,8.46 kb/s
2024-10-19 03:09:00,17.2 Mb/s
2024-10-19 03:09:30,17.0 Mb/s
2024-10-19 03:10:00,17.0 Mb/s
2024-10-19 03:10:30,71.9 Mb/s
2024-10-19 03:11:00,98.6 Mb/s
2024-10-19 03:11:30,386 kb/s
2024-10-19 03:12:00,8.46 kb/s
2024-10-19 03:12:30,9.28 kb/s
2024-10-19 03:13:00,10.1 kb/s
2024-10-19 03:13:30,8.46 kb/s
2024-10-19 03:14:00,8.46 kb/s
2024-10-19 03:14:30,494 kb/s
2024-10-19 03:15:00,14.5 Mb/s
2024-10-19 03:15:30,14.5 Mb/s
2024-10-19 03:16:00,3.26 Mb/s
2024-10-19 03:16:30,384 kb/s
2024-10-19 03:17:00,38.1 Mb/s
2024-10-19 03:17:30,415 kb/s
2024-10-19 03:18:00,379 kb/s
2024-10-19 03:18:30,328 kb/s
2024-10-19 03:19:00,31.4 kb/s
2024-10-19 03:19:30,9.27 kb/s
2024-10-19 03:20:00,8.46 kb/s
2024-10-19 03:20:30,9.27 kb/s
2024-10-19 03:21:00,8.46 kb/s
2024-10-19 03:21:30,8.46 kb/s
2024-10-19 03:22:00,44.7 Mb/s
2024-10-19 03:22:30,7.63 kb/s
2024-10-19 03:23:00,21.6 Mb/s
2024-10-19 03:23:30,21.0 Mb/s
2024-10-19 03:24:00,9.27 kb/s
2024-10-19 03:24:30,13.5 Mb/s
2024-10-19 03:25:00,97.9 Mb/s
2024-10-19 03:25:30,97.0 Mb/s
2024-10-19 03:26:00,135 Mb/s
2024-10-19 03:26:30,44.5 Mb/s
2024-10-19 03:27:00,103 Mb/s
2024-10-19 03:27:30,12.4 kb/s
2024-10-19 03:28:00,94.4 Mb/s
2024-10-19 03:28:30,91.7 Mb/s
2024-10-19 03:29:00,1.17 Mb/s
2024-10-19 03:29:30,459 kb/s
2024-10-19 03:30:00,11.2 kb/s
2024-10-19 03:30:30,58.0 Mb/s
2024-10-19 03:31:00,60.9 Mb/s
2024-10-19 03:31:30,14.2 kb/s
2024-10-19 03:32:00,58.6 Mb/s
2024-10-19 03:32:30,60.4 Mb/s
2024-10-19 03:33:00,108 Mb/s
2024-10-19 03:33:30,38.1 Mb/s
2024-10-19 03:34:00,38.0 Mb/s
2024-10-19 03:34:30,40.2 Mb/s
2024-10-19 03:35:00,37.8 Mb/s
2024-10-19 03:35:30,13.4 kb/s
2024-10-19 03:36:00,10.1 kb/s
2024-10-19 03:36:30,15.5 kb/s
2024-10-19 03:37:00,11.1 kb/s
2024-10-19 03:37:30,320 kb/s
2024-10-19 03:38:00,198 kb/s
2024-10-19 03:38:30,13.5 Mb/s
2024-10-19 03:39:00,14.3 Mb/s
2024-10-19 03:39:30,14.7 Mb/s
2024-10-19 03:40:00,9.96 kb/s
2024-10-19 03:40:30,8.34 kb/s
2024-10-19 03:41:00,10.8 kb/s
2024-10-19 03:41:30,424 kb/s
2024-10-19 03:42:00,138 Mb/s
2024-10-19 03:42:30,11.6 Mb/s
2024-10-19 03:43:00,12.1 Mb/s
2024-10-19 03:43:30,9.96 kb/s
2024-10-19 03:44:00,10.8 kb/s
2024-10-19 03:44:30,10.8 kb/s
2024-10-19 03:45:00,9.13 kb/s
2024-10-19 03:45:30,12.7 kb/s
2024-10-19 03:46:00,73.3 Mb/s
2024-10-19 03:46:30,52.3 Mb/s
2024-10-19 03:47:00,41.9 Mb/s
2024-10-19 03:47:30,11.6 kb/s
2024-10-19 03:48:00,9.14 kb/s
2024-10-19 03:48:30,39.4 Mb/s
2024-10-19 03:49:00,39.0 Mb/s
2024-10-19 03:49:30,450 kb/s
2024-10-19 03:50:00,695 kb/s
2024-10-19 03:50:30,281 kb/s
2024-10-19 03:51:00,10.1 kb/s
2024-10-19 03:51:30,10.8 kb/s
2024-10-19 03:52:00,29.9 Mb/s
2024-10-19 03:52:30,67.2 Mb/s
2024-10-19 03:53:00,67.4 Mb/s
2024-10-19 03:53:30,31.7 Mb/s
2024-10-19 03:54:00,32.9 Mb/s
2024-10-19 03:54:30,104 Mb/s
2024-10-19 03:55:00,9.97 kb/s
2024-10-19 03:55:30,20.9 Mb/s
2024-10-19 03:56:00,21.0 Mb/s
2024-10-19 03:56:30,9.15 Mb/s
2024-10-19 03:57:00,10.3 Mb/s
2024-10-19 03:57:30,9.97 kb/s
2024-10-19 03:58:00,65.3 Mb/s
2024-10-19 03:58:30,110 Mb/s
2024-10-19 03:59:00,178 Mb/s
2024-10-19 03:59:30,100 Mb/s
2024-10-19 04:00:00,49.3 Mb/s
2024-10-19 04:00:30,31.5 Mb/s
2024-10-19 04:01:00,93.0 Mb/s
2024-10-19 04:01:30,87.9 Mb/s
2024-10-19 04:02:00,89.1 Mb/s
2024-10-19 04:02:30,87.7 Mb/s
2024-10-19 04:03:00,9.96 kb/s
2024-10-19 04:03:30,18.8 kb/s
2024-10-19 04:04:00,20.3 Mb/s
2024-10-19 04:04:30,20.7 Mb/s
2024-10-19 04:05:00,21.3 Mb/s
2024-10-19 04:05:30,9.14 kb/s
2024-10-19 04:06:00,2.30 Mb/s
2024-10-19 04:06:30,74.0 Mb/s
2024-10-19 04:07:00,39.7 Mb/s
2024-10-19 04:07:30,97.7 Mb/s
2024-10-19 04:08:00,90.7 Mb/s
2024-10-19 04:08:30,120 Mb/s
2024-10-19 04:09:00,83.3 Mb/s
2024-10-19 04:09:30,143 Mb/s
2024-10-19 04:10:00,126 Mb/s
2024-10-19 04:10:30,49.2 Mb/s
2024-10-19 04:11:00,11.8 Mb/s
2024-10-19 04:11:30,12.6 Mb/s
2024-10-19 04:12:00,10.6 kb/s
2024-10-19 04:12:30,8.33 kb/s
2024-10-19 04:13:00,8.34 kb/s
2024-10-19 04:13:30,35.4 Mb/s
2024-10-19 04:14:00,37.0 Mb/s
2024-10-19 04:14:30,617 kb/s
2024-10-19 04:15:00,492 kb/s
2024-10-19 04:15:30,24.1 Mb/s
2024-10-19 04:16:00,72.4 Mb/s
2024-10-19 04:16:30,88.6 Mb/s
2024-10-19 04:17:00,99.6 Mb/s
2024-10-19 04:17:30,72.1 Mb/s
2024-10-19 04:18:00,72.2 Mb/s
2024-10-19 04:18:30,96.5 kb/s
2024-10-19 04:19:00,76.4 kb/s
2024-10-19 04:19:30,49.3 Mb/s
2024-10-19 04:20:00,64.1 kb/s
2024-10-19 04:20:30,75.5 Mb/s
2024-10-19 04:21:00,74.3 Mb/s
2024-10-19 04:21:30,75.4 Mb/s
2024-10-19 04:22:00,76.2 Mb/s
2024-10-19 04:22:30,56.7 Mb/s
2024-10-19 04:23:00,9.96 kb/s
2024-10-19 04:23:30,42.3 Mb/s
2024-10-19 04:24:00,42.7 Mb/s
2024-10-19 04:24:30,45.7 Mb/s
2024-10-19 04:25:00,8.46 kb/s
2024-10-19 04:25:30,69.6 Mb/s
2024-10-19 04:26:00,69.4 Mb/s
2024-10-19 04:26:30,137 Mb/s
2024-10-19 04:27:00,243 kb/s
2024-10-19 04:27:30,9.97 kb/s
2024-10-19 04:28:00,488 kb/s
2024-10-19 04:28:30,589 kb/s
2024-10-19 04:29:00,10.1 kb/s
2024-10-19 04:29:30,51.5 Mb/s
2024-10-19 04:30:00,7.65 kb/s
2024-10-19 04:30:30,25.6 Mb/s
2024-10-19 04:31:00,37.7 Mb/s
2024-10-19 04:31:30,37.0 Mb/s
2024-10-19 04:32:00,81.0 Mb/s
2024-10-19 04:32:30,81.9 Mb/s
2024-10-19 04:33:00,76.6 Mb/s
2024-10-19 04:33:30,47.2 Mb/s
2024-10-19 04:34:00,103 Mb/s
2024-10-19 04:34:30,86.0 Mb/s
2024-10-19 04:35:00,9.18 Mb/s
2024-10-19 04:35:30,8.46 kb/s
2024-10-19 04:36:00,8.46 kb/s
2024-10-19 04:36:30,7.60 Mb/s
2024-10-19 04:37:00,7.74 Mb/s
2024-10-19 04:37:30,96.2 Mb/s
2024-10-19 04:38:00,66.7 Mb/s
2024-10-19 04:38:30,76.1 Mb/s
2024-10-19 04:39:00,20.4 kb/s
2024-10-19 04:39:30,215 kb/s
2024-10-19 04:40:00,233 kb/s
2024-10-19 04:40:30,127 kb/s
2024-10-19 04:41:00,24.8 kb/s
2024-10-19 04:41:30,50.1 Mb/s
2024-10-19 04:42:00,49.2 Mb/s
2024-10-19 04:42:30,50.8 Mb/s
2024-10-19 04:43:00,846 kb/s
2024-10-19 04:43:30,597 kb/s
2024-10-19 04:44:00,22.3 kb/s
2024-10-19 04:44:30,380 kb/s
2024-10-19 04:45:00,34.1 Mb/s
2024-10-19 04:45:30,21.4 kb/s
2024-10-19 04:46:00,838 kb/s
2024-10-19 04:46:30,256 kb/s
2024-10-19 04:47:00,73.0 Mb/s
2024-10-19 04:47:30,97.7 Mb/s
2024-10-19 04:48:00,33.3 Mb/s
2024-10-19 04:48:30,30.7 kb/s
2024-10-19 04:49:00,24.0 kb/s
2024-10-19 04:49:30,5.93 Mb/s
2024-10-19 04:50:00,65.8 Mb/s
2024-10-19 04:50:30,24.7 kb/s
2024-10-19 04:51:00,27.4 Mb/s
2024-10-19 04:51:30,25.6 kb/s
2024-10-19 04:52:00,88.5 Mb/s
2024-10-19 04:52:30,91.8 Mb/s
2024-10-19 04:53:00,943 kb/s
2024-10-19 04:53:30,26.5 Mb/s
2024-10-19 04:54:00,10.2 Mb/s
2024-10-19 04:54:30,10.5 Mb/s
2024-10-19 04:55:00,21.4 kb/s
2024-10-19 04:55:30,24.7 kb/s
2024-10-19 04:56:00,33.4 Mb/s
2024-10-19 04:56:30,35.1 Mb/s
2024-10-19 04:57:00,918 kb/s
2024-10-19 04:57:30,865 kb/s
2024-10-19 04:58:00,867 kb/s
2024-10-19 04:58:30,75.1 Mb/s
2024-10-19 04:59:00,67.5 Mb/s
2024-10-19 04:59:30,120 Mb/s
2024-10-19 05:00:00,76.0 Mb/s
2024-10-19 05:00:30,42.6 Mb/s
2024-10-19 05:01:00,34.0 Mb/s
2024-10-19 05:01:30,38.4 Mb/s
2024-10-19 05:02:00,120 Mb/s
2024-10-19 05:02:30,133 Mb/s
2024-10-19 05:03:00,130 Mb/s
2024-10-19 05:03:30,9.71 Mb/s
2024-10-19 05:04:00,326 kb/s
2024-10-19 05:04:30,114 Mb/s
2024-10-19 05:05:00,75.9 Mb/s
2024-10-19 05:05:30,104 Mb/s
2024-10-19 05:06:00,154 Mb/s
2024-10-19 05:06:30,127 Mb/s
2024-10-19 05:07:00,142 Mb/s
2024-10-19 05:07:30,43.0 Mb/s
2024-10-19 05:08:00,135 Mb/s
2024-10-19 05:08:30,89.3 Mb/s
2024-10-19 05:09:00,9.14 kb/s
2024-10-19 05:09:30,72.3 Mb/s
2024-10-19 05:10:00,71.3 Mb/s
2024-10-19 05:10:30,110 Mb/s
2024-10-19 05:11:00,37.2 Mb/s
2024-10-19 05:11:30,28.6 Mb/s
2024-10-19 05:12:00,186 kb/s
2024-10-19 05:12:30,312 kb/s
2024-10-19 05:13:00,10.8 kb/s
2024-10-19 05:13:30,9.96 kb/s
2024-10-19 05:14:00,376 kb/s
2024-10-19 05:14:30,70.2 Mb/s
2024-10-19 05:15:00,83.2 Mb/s
2024-10-19 05:15:30,10.2 kb/s
2024-10-19 05:16:00,9.96 kb/s
2024-10-19 05:16:30,9.96 kb/s
2024-10-19 05:17:00,35.9 Mb/s
2024-10-19 05:17:30,35.5 Mb/s
2024-10-19 05:18:00,401 kb/s
2024-10-19 05:18:30,370 kb/s
2024-10-19 05:19:00,695 kb/s
2024-10-19 05:19:30,7.63 kb/s
2024-10-19 05:20:00,9.96 kb/s
2024-10-19 05:20:30,3.68 Mb/s
2024-10-19 05:21:00,9.89 Mb/s
2024-10-19 05:21:30,155 kb/s
2024-10-19 05:22:00,69.1 Mb/s
2024-10-19 05:22:30,10.1 kb/s
2024-10-19 05:23:00,83.5 Mb/s
2024-10-19 05:23:30,110 Mb/s
2024-10-19 05:24:00,81.2 Mb/s
2024-10-19 05:24:30,10.8 kb/s
2024-10-19 05:25:00,83.5 Mb/s
2024-10-19 05:25:30,87.2 Mb/s
2024-10-19 05:26:00,83.5 Mb/s
2024-10-19 05:26:30,79.3 Mb/s
2024-10-19 05:27:00,58.8 Mb/s
2024-10-19 05:27:30,59.5 Mb/s
2024-10-19 05:28:00,60.3 Mb/s
2024-10-19 05:28:30,60.1 Mb/s
2024-10-19 05:29:00,49.6 Mb/s
2024-10-19 05:29:30,51.2 Mb/s
2024-10-19 05:30:00,9.95 kb/s
2024-10-19 05:30:30,48.9 Mb/s
2024-10-19 05:31:00,49.7 Mb/s
2024-10-19 05:31:30,49.1 Mb/s
2024-10-19 05:32:00,110 Mb/s
2024-10-19 05:32:30,131 Mb/s
2024-10-19 05:33:00,115 Mb/s
2024-10-19 05:33:30,21.6 Mb/s
2024-10-19 05:34:00,87.7 Mb/s
2024-10-19 05:34:30,133 kb/s
2024-10-19 05:35:00,193 kb/s
2024-10-19 05:35:30,157 kb/s
2024-10-19 05:36:00,79.4 Mb/s
2024-10-19 05:36:30,97.5 Mb/s
2024-10-19 05:37:00,92.4 Mb/s
2024-10-19 05:37:30,16.2 Mb/s
2024-10-19 05:38:00,11.1 kb/s
2024-10-19 05:38:30,450 kb/s
2024-10-19 05:39:00,61.3 Mb/s
2024-10-19 05:39:30,555 kb/s
2024-10-19 05:40:00,393 kb/s
2024-10-19 05:40:30,75.3 Mb/s
2024-10-19 05:41:00,87.5 Mb/s
2024-10-19 05:41:30,57.5 Mb/s
2024-10-19 05:42:00,10.3 kb/s
2024-10-19 05:42:30,56.3 Mb/s
2024-10-19 05:43:00,82.6 Mb/s
2024-10-19 05:43:30,64.7 Mb/s
2024-10-19 05:44:00,52.2 Mb/s
2024-10-19 05:44:30,5.74 Mb/s
2024-10-19 05:45:00,72.7 Mb/s
2024-10-19 05:45:30,16.6 Mb/s
2024-10-19 05:46:00,601 kb/s
2024-10-19 05:46:30,805 kb/s
2024-10-19 05:47:00,582 kb/s
2024-10-19 05:47:30,544 kb/s
2024-10-19 05:48:00,744 kb/s
2024-10-19 05:48:30,6.79 Mb/s
2024-10-19 05:49:00,16.5 Mb/s
2024-10-19 05:49:30,7.22 Mb/s
2024-10-19 05:50:00,7.05 Mb/s
2024-10-19 05:50:30,67.8 Mb/s
2024-10-19 05:51:00,64.4 Mb/s
2024-10-19 05:51:30,113 Mb/s
2024-10-19 05:52:00,103 Mb/s
2024-10-19 05:52:30,97.0 Mb/s
2024-10-19 05:53:00,91.7 Mb/s
2024-10-19 05:53:30,29.0 Mb/s
2024-10-19 05:54:00,10.3 Mb/s
2024-10-19 05:54:30,9.96 kb/s
2024-10-19 05:55:00,9.27 kb/s
2024-10-19 05:55:30,12.0 kb/s
2024-10-19 05:56:00,373 kb/s
2024-10-19 05:56:30,151 kb/s
2024-10-19 05:57:00,199 kb/s
2024-10-19 05:57:30,224 kb/s
2024-10-19 05:58:00,315 kb/s
2024-10-19 05:58:30,270 kb/s
2024-10-19 05:59:00,301 kb/s
2024-10-19 05:59:30,8.33 kb/s
2024-10-19 06:00:00,666 kb/s
2024-10-19 06:00:30,74.7 Mb/s
2024-10-19 06:01:00,70.3 Mb/s
2024-10-19 06:01:30,8.45 kb/s
2024-10-19 06:02:00,8.45 kb/s
2024-10-19 06:02:30,10.5 kb/s
2024-10-19 06:03:00,92.1 Mb/s
2024-10-19 06:03:30,72.8 Mb/s
2024-10-19 06:04:00,55.6 Mb/s
2024-10-19 06:04:30,27.7 kb/s
2024-10-19 06:05:00,10.1 kb/s
2024-10-19 06:05:30,27.6 Mb/s
2024-10-19 06:06:00,28.2 Mb/s
2024-10-19 06:06:30,896 kb/s
2024-10-19 06:07:00,117 Mb/s
2024-10-19 06:07:30,116 Mb/s
2024-10-19 06:08:00,84.2 Mb/s
2024-10-19 06:08:30,113 Mb/s
2024-10-19 06:09:00,29.2 Mb/s
2024-10-19 06:09:30,986 kb/s
2024-10-19 06:10:00,300 kb/s
2024-10-19 06:10:30,259 kb/s
2024-10-19 06:11:00,312 kb/s
2024-10-19 06:11:30,8.46 kb/s
2024-10-19 06:12:00,553 kb/s
2024-10-19 06:12:30,507 kb/s
2024-10-19 06:13:00,915 kb/s
2024-10-19 06:13:30,72.5 Mb/s
2024-10-19 06:14:00,91.9 Mb/s
2024-10-19 06:14:30,84.3 Mb/s
2024-10-19 06:15:00,264 kb/s
2024-10-19 06:15:30,66.3 Mb/s
2024-10-19 06:16:00,51.1 Mb/s
2024-10-19 06:16:30,213 kb/s
2024-10-19 06:17:00,172 kb/s
2024-10-19 06:17:30,30.9 Mb/s
2024-10-19 06:18:00,110 Mb/s
2024-10-19 06:18:30,29.8 Mb/s
2024-10-19 06:19:00,30.4 Mb/s
2024-10-19 06:19:30,66.8 Mb/s
2024-10-19 06:20:00,67.5 Mb/s
2024-10-19 06:20:30,95.9 Mb/s
2024-10-19 06:21:00,87.1 Mb/s
2024-10-19 06:21:30,2.07 Mb/s
2024-10-19 06:22:00,64.7 Mb/s
2024-10-19 06:22:30,28.0 kb/s
2024-10-19 06:23:00,87.6 Mb/s
2024-10-19 06:23:30,79.4 Mb/s
2024-10-19 06:24:00,6.82 kb/s
2024-10-19 06:24:30,8.46 kb/s
2024-10-19 06:25:00,7.64 kb/s
2024-10-19 06:25:30,171 kb/s
2024-10-19 06:26:00,34.0 Mb/s
2024-10-19 06:26:30,107 Mb/s
2024-10-19 06:27:00,101 Mb/s
2024-10-19 06:27:30,92.4 Mb/s
2024-10-19 06:28:00,93.2 Mb/s
2024-10-19 06:28:30,92.6 Mb/s
2024-10-19 06:29:00,108 Mb/s
2024-10-19 06:29:30,149 Mb/s
2024-10-19 06:30:00,81.6 Mb/s
2024-10-19 06:30:30,67.6 Mb/s
2024-10-19 06:31:00,9.26 kb/s
2024-10-19 06:31:30,9.27 kb/s
2024-10-19 06:32:00,6.83 kb/s
2024-10-19 06:32:30,7.65 kb/s
2024-10-19 06:33:00,9.27 kb/s
2024-10-19 06:33:30,11.5 kb/s
2024-10-19 06:34:00,8.46 kb/s
2024-10-19 06:34:30,49.8 Mb/s
2024-10-19 06:35:00,107 Mb/s
2024-10-19 06:35:30,72.5 Mb/s
2024-10-19 06:36:00,69.4 Mb/s
2024-10-19 06:36:30,878 kb/s
2024-10-19 06:37:00,25.1 kb/s
2024-10-19 06:37:30,457 kb/s
2024-10-19 06:38:00,511 kb/s
2024-10-19 06:38:30,390 kb/s
2024-10-19 06:39:00,446 kb/s
2024-10-19 06:39:30,24.7 kb/s
2024-10-19 06:40:00,15.9 kb/s
2024-10-19 06:40:30,5.07 Mb/s
2024-10-19 06:41:00,23.4 Mb/s
2024-10-19 06:41:30,22.4 Mb/s
2024-10-19 06:42:00,13.6 Mb/s
2024-10-19 06:42:30,466 kb/s
2024-10-19 06:43:00,23.1 kb/s
2024-10-19 06:43:30,17.8 kb/s
2024-10-19 06:44:00,72.4 Mb/s
2024-10-19 06:44:30,72.5 Mb/s
2024-10-19 06:45:00,456 kb/s
2024-10-19 06:45:30,27.7 kb/s
2024-10-19 06:46:00,223 kb/s
2024-10-19 06:46:30,32.6 Mb/s
2024-10-19 06:47:00,32.9 Mb/s
2024-10-19 06:47:30,52.8 Mb/s
2024-10-19 06:48:00,69.3 Mb/s
2024-10-19 06:48:30,54.0 Mb/s
2024-10-19 06:49:00,32.4 Mb/s
2024-10-19 06:49:30,110 kb/s
2024-10-19 06:50:00,3.24 Mb/s
2024-10-19 06:50:30,3.26 Mb/s
2024-10-19 06:51:00,3.17 Mb/s
2024-10-19 06:51:30,23.0 kb/s
2024-10-19 06:52:00,23.0 kb/s
